Frag Name,Trunc,LL XC,HL XC,HL Atoms,Post-HF Method,Basis,Untrunc Nbasis,Trunc Nbasis,Untrunc Natoms,Trunc Natoms,Total DFT Energy (A-in-B),AB LL Energy,A HL Energy,A LL Energy,PB Correction,AB_LL Time,A_LL Time,A_HL Time
C19COOH,0.001,PBE,PBE,4,RPA,intermediate,62,13,702,183,-24610.258967970756,-25483.774492628414,-4035.118559364929,-5111.623556426217,0,23.29590916633606,0.7307052612304688,13.90347933769226
C19COOH,0.0001,PBE,PBE,4,RPA,intermediate,62,17,702,237,-23591.876410041583,-25483.774492628414,-2692.179541147956,-5111.570117689213,0,23.74997901916504,0.9599637985229492,29.15592074394226
C19COOH,1e-05,PBE,PBE,4,RPA,intermediate,62,23,702,288,-22498.234157781626,-25483.774492628414,-940.9882864395622,-5111.566352661346,0,27.856091022491455,1.2958099842071533,23.920881271362305
C19COOH,1.0,PBE,PBE0,4,N/A,intermediate,62,4,702,69,-16741.597919655447,-25483.774492628414,-4821.471428819243,-2801.4592204725523,0,23.363414525985718,0.3614165782928467,3.056598424911499
C19COOH,0.1,PBE,PBE0,4,N/A,intermediate,62,5,702,90,-8867.996619635647,-25483.774492628414,19817.581130770384,-2508.9653712071527,0,23.24203586578369,0.3986489772796631,3.241995096206665
CH3COOH,1.0,PBE,PBE0,4,N/A,tight,8,4,216,132,-3957.8504491694694,-6235.996106226149,-2851.6018127680336,-5144.971204463562,0,2.343003988265991,0.43207859992980957,6.890523433685303
CH3COOH,0.1,PBE,PBE0,4,N/A,tight,8,5,216,171,-4182.82202411913,-6235.996106226149,-2663.3759590845902,-5118.271165651646,0,3.007573127746582,0.47535252571105957,7.534101724624634
C19COOH,1.0,PBE,PBE0,4,N/A,tight,62,4,1458,132,-23762.104510922298,-25484.453120710023,-3395.1090516494105,-5144.598097712177,0,31.99238896369934,0.4605858325958252,6.830939531326294
C19COOH,0.1,PBE,PBE0,4,N/A,tight,62,5,1458,171,-23002.94416144943,-25484.453120710023,-2436.8120358556753,-5118.865717571298,0,31.8377525806427,0.5035552978515625,5.171651124954224
CH3COOH,0.01,PBE,PBE0,4,N/A,tight,8,8,216,216,-6235.676974756331,-6235.996106226149,-5114.782584863675,-5114.295523989325,0,2.193767786026001,0.567711591720581,5.93711256980896
CH3COOH,0.001,PBE,PBE0,4,N/A,tight,8,8,216,216,-6235.676974757112,-6235.996106226149,-5114.782584864401,-5114.295523989325,0,2.1755495071411133,0.5746593475341797,6.006169557571411
C19COOH,0.01,PBE,PBE0,4,N/A,tight,62,9,1458,279,-21667.716526183765,-25484.453120710023,-388.14615671661767,-5112.499299087251,0,32.04290437698364,0.7162683010101318,7.061192035675049
CH3COOH,0.0001,PBE,PBE0,4,N/A,tight,8,8,216,216,-6235.6769747553635,-6235.996106226149,-5114.782584862722,-5114.295523989325,0,5.978786468505859,0.5683495998382568,6.009066581726074
C19COOH,0.001,PBE,PBE0,4,N/A,tight,62,14,1458,378,-21647.867936853963,-25484.453120710023,68.06092010140446,-5111.796221155617,0,31.940597534179688,1.002974033355713,16.32535743713379
CH3COOH,1e-06,PBE,PBE0,4,N/A,tight,8,8,216,216,-6235.6769747641865,-6235.996106226149,-5114.782584871629,-5114.295523989325,0,2.0565149784088135,0.5747730731964111,5.962033748626709
CH3COOH,1e-05,PBE,PBE0,4,N/A,tight,8,8,216,216,-6235.676974756192,-6235.996106226149,-5114.782584863526,-5114.295523989325,0,2.105055809020996,0.5716807842254639,5.869007349014282
C19COOH,0.0001,PBE,PBE0,4,N/A,tight,62,18,1458,486,-17943.08006799953,-25484.453120710023,4861.6448416904495,-5111.744909194582,0,33.1080265045166,1.3922927379608154,22.523029088974
CH3COOH,1.0,PBE,PBE,4,N/A,tight,8,4,216,132,-3968.7564783938665,-6235.996106226149,-2862.45507054244,-5144.971204463562,0,5.871520280838013,0.4295940399169922,8.589656352996826
C19COOH,1e-05,PBE,PBE0,4,N/A,tight,62,24,1458,600,-17785.60387541554,-25484.453120710023,6262.538293484279,-5111.739459699967,0,32.06818914413452,1.8828542232513428,29.574281215667725
C19COOH,1e-06,PBE,PBE0,4,N/A,tight,62,31,1458,753,-17376.50656985863,-25484.453120710023,7064.879007904256,-5111.739235805484,0,31.86365246772766,2.5663161277770996,44.8592050075531
C19COOH,1.0,PBE,PBE,4,N/A,tight,62,4,1458,132,-23773.918577680994,-25484.453120710023,-3406.8106855601172,-5144.598097712177,0,31.573694467544556,0.45017099380493164,1.5651583671569824
CH3COOH,0.01,PBE,PBE,4,N/A,tight,8,8,216,216,-6235.996106226151,-6235.996106226149,-5114.295523989327,-5114.295523989325,0,2.1055688858032227,0.573408842086792,0.6151590347290039
CH3COOH,0.1,PBE,PBE,4,N/A,tight,8,5,216,171,-4168.004775084051,-6235.996106226149,-2647.8928766752174,-5118.271165651646,0,3.2788567543029785,0.48322463035583496,1.6142733097076416
CH3COOH,0.001,PBE,PBE,4,N/A,tight,8,8,216,216,-6235.996106226151,-6235.996106226149,-5114.295523989327,-5114.295523989325,0,2.1035237312316895,0.5702700614929199,0.6035268306732178
C19COOH,0.1,PBE,PBE,4,N/A,tight,62,5,1458,171,-22988.792889059583,-25484.453120710023,-2423.1906196089544,-5118.865717571298,0,31.884002685546875,0.49961137771606445,1.6197073459625244
C19COOH,0.01,PBE,PBE,4,N/A,tight,62,9,1458,279,-21270.065314602754,-25484.453120710023,3.5947021425954517,-5112.499299087251,0,31.78868579864502,0.7073307037353516,2.4232614040374756
CH3COOH,0.0001,PBE,PBE,4,N/A,tight,8,8,216,216,-6235.996106226151,-6235.996106226149,-5114.295523989327,-5114.295523989325,0,3.0554943084716797,0.5714113712310791,0.6108992099761963
CH3COOH,1e-05,PBE,PBE,4,N/A,tight,8,8,216,216,-6235.996106226151,-6235.996106226149,-5114.295523989327,-5114.295523989325,0,3.2054097652435303,0.5766587257385254,0.6173505783081055
C19COOH,0.001,PBE,PBE,4,N/A,tight,62,14,1458,378,-19691.816999079536,-25484.453120710023,1947.328401575598,-5111.796221155617,0,31.62883186340332,1.0001797676086426,8.779617547988892
CH3COOH,1e-06,PBE,PBE,4,N/A,tight,8,8,216,216,-6235.996106226151,-6235.996106226149,-5114.295523989327,-5114.295523989325,0,6.9119768142700195,0.5682384967803955,0.6065332889556885
C19COOH,0.0001,PBE,PBE,4,N/A,tight,62,18,1458,486,-14978.477107868634,-25484.453120710023,7812.072429349814,-5111.744909194582,0,31.84740138053894,1.4032979011535645,5.223166227340698
C19COOH,1e-05,PBE,PBE,4,N/A,tight,62,24,1458,600,-13805.325777483207,-25484.453120710023,10233.62511527703,-5111.739459699967,0,31.743523836135864,1.9180305004119873,7.396505832672119
CH3COOH,1.0,PBE,PBE,4,RPA,tight,8,4,216,132,-3894.3092736828494,-6235.996106226149,-2788.007857295139,-5144.971204463562,0,5.912601470947266,0.43819332122802734,13.756054401397705
C19COOH,1e-06,PBE,PBE,4,N/A,tight,62,31,1458,753,-13315.401677924097,-25484.453120710023,11120.854542465062,-5111.739235805484,0,31.581242084503174,2.559941530227661,10.626203536987305
CH3COOH,0.1,PBE,PBE,4,RPA,tight,8,5,216,171,-4223.598265488011,-6235.996106226149,-2703.486367079153,-5118.271165651646,0,2.4655792713165283,0.47908687591552734,5.075659990310669
C19COOH,1.0,PBE,PBE,4,RPA,tight,62,4,1458,132,-23706.046830163825,-25484.453120710023,-3338.938938042953,-5144.598097712177,0,31.975990056991577,0.46257996559143066,4.483704328536987
CH3COOH,0.01,PBE,PBE,4,RPA,tight,8,8,216,216,-6240.16364545015,-6235.996106226149,-5118.463063213327,-5114.295523989325,0,2.5303142070770264,0.5720736980438232,4.801737070083618
C19COOH,0.1,PBE,PBE,4,RPA,tight,62,5,1458,171,-23054.123882934644,-25484.453120710023,-2488.5216134840084,-5118.865717571298,0,31.823204517364502,0.5635044574737549,5.092864513397217
CH3COOH,0.0001,PBE,PBE,4,RPA,tight,8,8,216,216,-6240.16364545015,-6235.996106226149,-5118.463063213327,-5114.295523989325,0,7.102389574050903,0.5713191032409668,4.826023101806641
CH3COOH,0.001,PBE,PBE,4,RPA,tight,8,8,216,216,-6240.16364545015,-6235.996106226149,-5118.463063213327,-5114.295523989325,0,2.319688320159912,0.5712668895721436,4.793824195861816
C19COOH,0.01,PBE,PBE,4,RPA,tight,62,9,1458,279,-22868.623565988753,-25484.453120710023,-1594.9635492434027,-5112.499299087251,0,31.66382145881653,0.704296350479126,8.449934959411621
C19COOH,0.001,PBE,PBE,4,RPA,tight,62,14,1458,378,-26727.235818559056,-25484.453120710023,-5088.090417978063,-5111.796221155617,0,31.938344717025757,1.0099756717681885,19.046632289886475
CH3COOH,1e-05,PBE,PBE,4,RPA,tight,8,8,216,216,-6240.16364545015,-6235.996106226149,-5118.463063213327,-5114.295523989325,0,2.2124741077423096,0.5670359134674072,4.781063795089722
C19COOH,0.0001,PBE,PBE,4,RPA,tight,62,18,1458,486,-26080.339917337085,-25484.453120710023,-3289.7903802006913,-5111.744909194582,0,31.848939895629883,1.3946635723114014,22.451984167099
CH3COOH,1e-06,PBE,PBE,4,RPA,tight,8,8,216,216,-6240.16364545015,-6235.996106226149,-5118.463063213327,-5114.295523989325,0,2.476278781890869,0.5729618072509766,4.7969114780426025
C19COOH,1e-05,PBE,PBE,4,RPA,tight,62,24,1458,600,-29631.30672136977,-25484.453120710023,-5592.3558286087355,-5111.739459699967,0,31.60350489616394,1.8696026802062988,33.630436420440674
Acid Dimer,1.0,PBE,PBE,8,RPA,tight,70,8,1674,264,-28443.948122769772,-31721.147507488975,-6984.5146856943065,-10291.169823163309,0,36.84153175354004,0.6716914176940918,10.085164546966553
C19COOH,1e-06,PBE,PBE,4,RPA,tight,62,31,1458,753,-29702.67118132615,-25484.453120710023,-5266.414960936992,-5111.739235805484,0,31.918524980545044,2.6133453845977783,55.84825348854065
Acid Dimer,0.1,PBE,PBE,8,RPA,tight,70,10,1674,342,-26214.432713380706,-31721.147507488975,-4607.448511187045,-10235.601930668654,0,41.27771067619324,0.8422856330871582,23.24964165687561
Acid Dimer,0.01,PBE,PBE,8,RPA,tight,70,17,1674,495,-27542.394396782896,-31721.147507488975,-4776.987694464711,-10224.831910287263,0,37.492379665374756,1.3879451751708984,27.938626766204834
Acid Dimer,0.001,PBE,PBE,8,RPA,tight,70,22,1674,594,-29516.616610476205,-31721.147507488975,-5811.700885199534,-10224.028193244634,0,36.95490002632141,1.6646780967712402,41.936110496520996
Acid Dimer,0.0001,PBE,PBE,8,RPA,tight,70,26,1674,702,-30134.756994573636,-31721.147507488975,-5264.0674214732135,-10223.974935448514,0,37.25487947463989,2.0586376190185547,64.92473769187927
Acid Dimer,1e-05,PBE,PBE,8,RPA,tight,70,31,1674,801,-34110.78759359235,-31721.147507488975,-8824.602869570488,-10223.971337632243,0,36.90058922767639,2.5032222270965576,78.36108255386353
Acid Dimer,1.0,PBE,PBE,8,N/A,tight,70,8,1674,264,-28343.137852722586,-31721.147507488975,-6883.704415647115,-10291.169823163309,0,36.333478927612305,0.6696696281433105,3.854466676712036
Acid Dimer,0.01,PBE,PBE,8,N/A,tight,70,17,1674,495,-23209.209292283955,-31721.147507488975,-443.80258996564544,-10224.831910287263,0,36.31655263900757,1.313464879989624,5.721926212310791
Acid Dimer,0.1,PBE,PBE,8,N/A,tight,70,10,1674,342,-25472.071419866683,-31721.147507488975,-3865.08722201095,-10235.601930668654,0,36.46563100814819,0.8454902172088623,12.9651198387146
Acid Dimer,1e-06,PBE,PBE,8,RPA,tight,70,38,1674,954,-38135.83111620523,-31721.147507488975,-11122.92842319142,-10223.9711478191,0,36.59178590774536,3.24259877204895,121.32252717018127
Acid Dimer,0.0001,PBE,PBE,8,N/A,tight,70,26,1674,702,-11378.799836810575,-31721.147507488975,13491.889736289839,-10223.974935448514,0,37.12556552886963,2.092560052871704,14.843183279037476
Acid Dimer,1e-05,PBE,PBE,8,N/A,tight,70,31,1674,801,-10195.517108915803,-31721.147507488975,15090.667615107333,-10223.971337632243,0,36.47491240501404,2.4683659076690674,10.787723302841187
Acid Dimer,0.001,PBE,PBE,8,N/A,tight,70,22,1674,594,-19892.967706998672,-31721.147507488975,3811.948018278288,-10224.028193244634,0,41.538212060928345,1.6622087955474854,9.070671558380127
Acid Dimer,1e-06,PBE,PBE,8,N/A,tight,70,38,1674,954,-8480.577694124551,-31721.147507488975,18532.32499888945,-10223.9711478191,0,36.888105630874634,3.239140748977661,13.450262546539307
Acid Dimer,1.0,PBE,PBE0,8,N/A,tight,70,8,1674,264,-28363.976844350032,-31721.147507488975,-6904.47807804203,-10291.169823163309,0,38.10990071296692,0.6765213012695312,12.775341510772705
Acid Dimer,0.1,PBE,PBE0,8,N/A,tight,70,10,1674,342,-25646.79434456273,-31721.147507488975,-4038.355920382891,-10235.601930668654,0,40.21937870979309,0.839867353439331,21.6508367061615
Acid Dimer,0.01,PBE,PBE0,8,N/A,tight,70,17,1674,495,-24301.430199651553,-31721.147507488975,-1524.4994033284543,-10224.831910287263,0,40.35007452964783,1.319350004196167,22.44486713409424
Acid Dimer,0.001,PBE,PBE0,8,N/A,tight,70,22,1674,594,-22328.596281386297,-31721.147507488975,1406.7909411976793,-10224.028193244634,0,41.902827501297,1.7259719371795654,43.49164652824402
Acid Dimer,0.0001,PBE,PBE0,8,N/A,tight,70,26,1674,702,-16131.425152893466,-31721.147507488975,8763.943241593111,-10223.974935448514,0,39.96315574645996,2.0487141609191895,49.873440742492676
Acid Dimer,1e-05,PBE,PBE0,8,N/A,tight,70,31,1674,801,-16432.540534923028,-31721.147507488975,8910.864524796802,-10223.971337632243,0,37.59036207199097,2.433208465576172,50.19921827316284
Acid Dimer,1e-06,PBE,PBE0,8,N/A,tight,70,38,1674,954,-16011.223894931241,-31721.147507488975,11029.839133302403,-10223.9711478191,0,36.715381383895874,3.1744544506073,82.08632469177246
CH3COOH,N/A,PBE,PBE,4,N/A,tight,8,8,216,216,-6235.996106226151,-6235.996106226149,-5114.295523989327,-5114.295523989325,0,2.422199010848999,0.553394079208374,0.6157782077789307
CH3COOH,N/A,PBE,PBE0,4,N/A,tight,8,8,216,216,-6235.676974764831,-6235.996106226149,-5114.782584872274,-5114.295523989325,0,3.244433641433716,0.5539603233337402,5.803770542144775
C19COOH,N/A,PBE,PBE,4,N/A,tight,62,62,1458,1458,-25484.453120710008,-25484.453120710023,-5111.739232189506,-5111.739232189516,0,31.800773859024048,5.836805820465088,7.548302173614502
CH3COOH,N/A,PBE,PBE,4,RPA,tight,8,8,216,216,-6240.16364545015,-6235.996106226149,-5118.463063213327,-5114.295523989325,0,2.4478445053100586,0.6254374980926514,4.816373109817505
C19COOH,N/A,PBE,PBE0,4,N/A,tight,62,62,1458,1458,-25484.141726403468,-25484.453120710023,-5112.569664614046,-5111.739232189516,0,32.130621910095215,5.857735872268677,77.22732591629028
CH3COOH,N/A,PBE,PBE,4,N/A,tight,8,8,216,216,-6235.996106226151,-6235.996106226149,-5114.295523989327,-5114.295523989325,0,1.7740874290466309,0.5200695991516113,0.5439047813415527
C19COOH,N/A,PBE,PBE,4,N/A,tight,62,62,1458,1458,-25484.453120710008,-25484.453120710023,-5111.739232189506,-5111.739232189516,0,31.440726041793823,5.8131232261657715,7.477051258087158
CH3COOH,N/A,PBE,PBE0,4,N/A,tight,8,8,216,216,-6235.676974755942,-6235.996106226149,-5114.782584863266,-5114.295523989325,0,2.9317657947540283,0.5148923397064209,5.6413843631744385
C19COOH,N/A,PBE,PBE,4,RPA,tight,62,62,1458,1458,-25488.67846089201,-25484.453120710023,-5115.964572371507,-5111.739232189516,0,31.821805000305176,5.934563636779785,249.81500220298767
C19COOH,N/A,PBE,PBE0,4,N/A,tight,62,62,1458,1458,-25484.141726402526,-25484.453120710023,-5112.569664613176,-5111.739232189516,0,31.446375131607056,5.801673889160156,78.96128129959106
Acid Dimer,N/A,PBE,PBE,8,RPA,tight,70,70,1674,1674,-31730.258557691002,-31721.147507488975,-10233.082212770889,-10223.971162568863,0,37.256325006484985,6.75840950012207,537.1131589412689
Acid Dimer,N/A,PBE,PBE,8,N/A,tight,70,70,1674,1674,-31721.147507489022,-31721.147507488975,-10223.971162568905,-10223.971162568863,0,40.45716047286987,6.6283769607543945,8.587799549102783
CH3COOH,N/A,PBE,PBE,4,RPA,tight,8,8,216,216,-6240.16364545015,-6235.996106226149,-5118.463063213327,-5114.295523989325,0,3.100525379180908,0.540337324142456,4.821169137954712
Acid Dimer,N/A,PBE,PBE0,8,N/A,tight,70,70,1674,1674,-31720.507148856716,-31721.147507488975,-10225.324124776183,-10223.971162568863,0,40.68041729927063,6.730693101882935,125.91785860061646
CH3COOH,N/A,PBE,PBE,4,N/A,tight,8,8,216,216,-6235.996106226151,-6235.996106226149,-5114.295523989327,-5114.295523989325,0,2.0013232231140137,0.5280985832214355,0.5656242370605469
C19COOH,N/A,PBE,PBE,4,N/A,tight,62,62,1458,1458,-25484.453120710008,-25484.453120710023,-5111.739232189506,-5111.739232189516,0,31.620176076889038,5.867480516433716,7.541045188903809
CH3COOH,N/A,PBE,PBE0,4,N/A,tight,8,8,216,216,-6235.676974755492,-6235.996106226149,-5114.7825848628545,-5114.295523989325,0,1.9701316356658936,0.5332596302032471,5.446465492248535
C19COOH,N/A,PBE,PBE,4,RPA,tight,62,62,1458,1458,-25488.67846089201,-25484.453120710023,-5115.964572371507,-5111.739232189516,0,31.60571265220642,5.815011978149414,249.3226776123047
C19COOH,N/A,PBE,PBE0,4,N/A,tight,62,62,1458,1458,-25484.141726403468,-25484.453120710023,-5112.569664614046,-5111.739232189516,0,31.736237287521362,5.8746771812438965,76.8656370639801
Acid Dimer,N/A,PBE,PBE,8,RPA,tight,70,70,1674,1674,-31730.258557691002,-31721.147507488975,-10233.082212770889,-10223.971162568863,0,40.45846939086914,6.608649253845215,533.6439788341522
